activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1481068,[],CHEMBL828143,In vitro inhibitory concentration SARS coronavirus main protease (SARS CoV 3C-like protease) ,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Br)cccc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '16.14', 'le': '0.37', 'lle': '1.62', 'sei': '16.07'}",CHEMBL365134,,CHEMBL365134,6.01,False,http://www.openphacts.org/units/Nanomolar,384081,=,1,True,=,,IC50,nM,,980.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,0.98
,1481072,[],CHEMBL831837,In vitro percent inhibition against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,,,BAO_0000201,BAO_0000357,single protein format,Cc1cc2c(c([N+](=O)[O-])c1)N(Cc1cc3ccccc3s1)C(=O)C2=O,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,,CHEMBL365677,,CHEMBL365677,,False,http://qudt.org/vocab/unit#Percent,384006,=,1,True,=,,Inhibition,%,,39.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,39.0
,1481073,[],CHEMBL831837,In vitro percent inhibition against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,,,BAO_0000201,BAO_0000357,single protein format,COc1ccc2c(c1)C(=O)C(=O)N2Cc1cc2ccccc2s1,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,,CHEMBL188811,,CHEMBL188811,,False,http://qudt.org/vocab/unit#Percent,384007,=,1,True,=,,Inhibition,%,,27.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,27.0
,1481088,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(F)cc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '17.08', 'le': '0.33', 'lle': '1.55', 'sei': '14.22'}",CHEMBL187598,,CHEMBL187598,5.32,False,http://www.openphacts.org/units/Nanomolar,384303,=,1,True,=,,IC50,nM,,4820.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,4.82
,1481089,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(I)cc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '14.36', 'le': '0.37', 'lle': '1.78', 'sei': '16.11'}",CHEMBL190743,,CHEMBL190743,6.02,False,http://www.openphacts.org/units/Nanomolar,384329,=,1,True,=,,IC50,nM,,950.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,0.95
,1481093,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2cc3ccccc3s2)c2cccc(Cl)c21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '15.10', 'le': '0.31', 'lle': '0.67', 'sei': '13.24'}",CHEMBL365469,,CHEMBL365469,4.95,False,http://www.openphacts.org/units/Nanomolar,384283,=,1,True,=,,IC50,nM,,11200.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,11.2
,1481094,[],CHEMBL834180,In vitro percent inhibition against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Cl)ccc(Cl)c21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,,CHEMBL362493,,CHEMBL362493,,False,http://qudt.org/vocab/unit#Percent,384741,=,1,True,=,,Inhibition,%,,46.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,46.0
,1481209,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(C/C=C/c2cc3ccccc3s2)c2ccc(I)cc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '10.40', 'le': '0.26', 'lle': '-0.12', 'sei': '12.38'}",CHEMBL188983,,CHEMBL188983,4.63,False,http://www.openphacts.org/units/Nanomolar,384742,=,1,True,=,,IC50,nM,,23500.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,23.5
,1481210,[],CHEMBL831837,In vitro percent inhibition against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,,,BAO_0000201,BAO_0000357,single protein format,Nc1ccc2c(c1)C(=O)C(=O)N2CC(=O)c1cc2ccccc2s1,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,,CHEMBL365242,,CHEMBL365242,,False,http://qudt.org/vocab/unit#Percent,385029,=,1,True,=,,Inhibition,%,,40.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,40.0
,1481211,[],CHEMBL831837,In vitro percent inhibition against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,,,BAO_0000201,BAO_0000357,single protein format,Cc1cc2c(c([N+](=O)[O-])c1)N(CC(=O)c1cc3ccccc3s1)C(=O)C2=O,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,,CHEMBL190155,,CHEMBL190155,,False,http://qudt.org/vocab/unit#Percent,385030,=,1,True,=,,Inhibition,%,,40.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,40.0
,1481212,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(Cl)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '9.37', 'le': '0.24', 'lle': '-0.09', 'sei': '7.37'}",CHEMBL191575,,CHEMBL191575,4.90,False,http://www.openphacts.org/units/Nanomolar,384846,=,1,True,=,,IC50,nM,,12570.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,12.57
,1481213,[],CHEMBL831837,In vitro percent inhibition against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C(Nc1ccc(F)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,,CHEMBL364253,,CHEMBL364253,,False,http://qudt.org/vocab/unit#Percent,385031,=,1,True,=,,Inhibition,%,,46.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,46.0
,1481214,[],CHEMBL831837,In vitro percent inhibition against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C(Nc1ccc(F)cc1F)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,,CHEMBL370098,,CHEMBL370098,,False,http://qudt.org/vocab/unit#Percent,385059,=,1,True,=,,Inhibition,%,,32.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,32.0
,1481217,[],CHEMBL831837,In vitro percent inhibition against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,,,BAO_0000201,BAO_0000357,single protein format,O=C(NC1CCCCC1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,,CHEMBL188961,,CHEMBL188961,,False,http://qudt.org/vocab/unit#Percent,385004,=,1,True,=,,Inhibition,%,,36.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,36.0
,1481218,[],CHEMBL831837,In vitro percent inhibition against SARS coronavirus main protease (SARS CoV 3C-like protease) at 20 uM,B,,,BAO_0000201,BAO_0000357,single protein format,CC(C)NC(=O)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,,CHEMBL187600,,CHEMBL187600,,False,http://qudt.org/vocab/unit#Percent,385005,=,1,True,=,,Inhibition,%,,47.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,47.0
,1481219,[],CHEMBL829584,In vitro inhibitory concentration against SARS coronavirus main protease (SARS CoV 3C-like protease),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C(=O)N(Cc2ccc(C(=O)N3CCCCC3)s2)c2ccc(I)cc21,,,CHEMBL1139624,Bioorg. Med. Chem. Lett.,2005,"{'bei': '9.90', 'le': '0.25', 'lle': '1.05', 'sei': '8.25'}",CHEMBL370923,,CHEMBL370923,4.76,False,http://www.openphacts.org/units/Nanomolar,384826,=,1,True,=,,IC50,nM,,17500.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,17.5
,1610712,[],CHEMBL881907,Inactivation rate constant against SARS-CoV 3CLpro protease,B,,,BAO_0000179,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)[C@@H](O)C(S)C(=O)O)C(=O)NCCCCN=C(N)N,,,CHEMBL1141032,J. Med. Chem.,2005,,CHEMBL198359,,CHEMBL198359,,False,,403247,=,1,False,=,,kinact,1/min,,0.0022,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,kinact,1/min,,,0.0022
,1610713,[],CHEMBL880476,Half life period against SARS-CoV 3CLpro protease,B,,,BAO_0002115,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)[C@@H](O)C(S)C(=O)O)C(=O)NCCCCN=C(N)N,,,CHEMBL1141032,J. Med. Chem.,2005,,CHEMBL198359,,CHEMBL198359,,False,http://qudt.org/vocab/unit#Hour,403247,=,1,True,=,,T1/2,hr,,5.25,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,T1/2,min,UO_0000032,,315.0
,1610714,[],CHEMBL881907,Inactivation rate constant against SARS-CoV 3CLpro protease,B,,,BAO_0000179,BAO_0000357,single protein format,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,,,CHEMBL1141032,J. Med. Chem.,2005,,CHEMBL194398,,CHEMBL194398,,False,,403248,=,1,False,=,,kinact,1/min,,0.014,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,kinact,1/min,,,0.014
,1610715,[],CHEMBL880476,Half life period against SARS-CoV 3CLpro protease,B,,,BAO_0002115,BAO_0000357,single protein format,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,,,CHEMBL1141032,J. Med. Chem.,2005,,CHEMBL194398,,CHEMBL194398,,False,http://qudt.org/vocab/unit#Hour,403248,=,1,True,=,,T1/2,hr,,0.8167,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,T1/2,min,UO_0000032,,49.0
,1610716,[],CHEMBL880249,Inhibitory concentration required for antiviral activity against SARS-CoV 3CLpro protease,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,,,CHEMBL1141032,J. Med. Chem.,2005,"{'bei': '7.49', 'le': '0.14', 'lle': '1.66', 'sei': '2.77'}",CHEMBL194398,,CHEMBL194398,4.35,False,http://www.openphacts.org/units/Nanomolar,403248,=,1,True,=,,IC50,nM,,45000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,45.0
,1610717,[],CHEMBL881908,Inactivation rate constant against SARS-CoV 3CLpro protease,B,,,BAO_0000179,BAO_0000357,single protein format,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,,,CHEMBL1141032,J. Med. Chem.,2005,,CHEMBL196635,,CHEMBL196635,,False,,403249,=,1,False,=,,kinact,1/min,,0.045,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,kinact,1/min,,,0.045
,1610718,[],CHEMBL880476,Half life period against SARS-CoV 3CLpro protease,B,,,BAO_0002115,BAO_0000357,single protein format,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,,,CHEMBL1141032,J. Med. Chem.,2005,,CHEMBL196635,,CHEMBL196635,,False,http://qudt.org/vocab/unit#Hour,403249,=,1,True,=,,T1/2,hr,,0.25,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,T1/2,min,UO_0000032,,15.0
,1610719,[],CHEMBL880249,Inhibitory concentration required for antiviral activity against SARS-CoV 3CLpro protease,B,,,BAO_0000190,BAO_0000357,single protein format,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,,,CHEMBL1141032,J. Med. Chem.,2005,"{'bei': '7.44', 'le': '0.14', 'lle': '1.35', 'sei': '2.65'}",CHEMBL196635,,CHEMBL196635,4.16,False,http://www.openphacts.org/units/Nanomolar,403249,=,1,True,=,,IC50,nM,,70000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,IC50,uM,UO_0000065,,70.0
,1610720,[],CHEMBL881907,Inactivation rate constant against SARS-CoV 3CLpro protease,B,,,BAO_0000179,BAO_0000357,single protein format,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)CC(O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,,,CHEMBL1141032,J. Med. Chem.,2005,,CHEMBL197193,,CHEMBL197193,,False,,403250,=,1,False,=,,kinact,1/min,,0.0025,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,kinact,1/min,,,0.0025
,1610721,[],CHEMBL880476,Half life period against SARS-CoV 3CLpro protease,B,,,BAO_0002115,BAO_0000357,single protein format,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)CC(O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,,,CHEMBL1141032,J. Med. Chem.,2005,,CHEMBL197193,,CHEMBL197193,,False,http://qudt.org/vocab/unit#Hour,403250,=,1,True,=,,T1/2,hr,,4.617,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,T1/2,min,UO_0000032,,277.0
,1610722,[],CHEMBL883608,Antiviral activity against SARS-3CLpro,F,,,BAO_0000181,BAO_0000019,assay format,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)C(CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1,,,CHEMBL1141032,J. Med. Chem.,2005,,CHEMBL196253,,CHEMBL196253,,False,http://www.openphacts.org/units/MicrogramPerMilliliter,403251,>,1,False,>,,Activity,ug ml-1,,100.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Activity,ug ml-1,UO_0000274,,100.0
,1658673,[],CHEMBL854332,Inhibition of Mpro in SARS-CoV at 100uM,B,,,BAO_0000201,BAO_0000357,single protein format,COC(=O)C1C(c2ccccc2)N1Cc1ccccc1,,,CHEMBL1141957,Bioorg. Med. Chem. Lett.,2005,,CHEMBL196909,,CHEMBL196909,,False,http://qudt.org/vocab/unit#Percent,411255,<,1,True,<,,Inhibition,%,,10.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,10.0
,1660255,[],CHEMBL854332,Inhibition of Mpro in SARS-CoV at 100uM,B,,,BAO_0000201,BAO_0000357,single protein format,CC(C)C[C@@H]1O[C@@H]1[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,,,CHEMBL1141957,Bioorg. Med. Chem. Lett.,2005,,CHEMBL445656,,CHEMBL445656,,False,http://qudt.org/vocab/unit#Percent,411292,<,1,True,<,,Inhibition,%,,10.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,10.0
,1660256,[],CHEMBL854332,Inhibition of Mpro in SARS-CoV at 100uM,B,,,BAO_0000201,BAO_0000357,single protein format,C[C@H]1O[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,,,CHEMBL1141957,Bioorg. Med. Chem. Lett.,2005,,CHEMBL202391,,CHEMBL202391,,False,http://qudt.org/vocab/unit#Percent,411289,<,1,True,<,,Inhibition,%,,10.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,10.0
,1660257,[],CHEMBL854332,Inhibition of Mpro in SARS-CoV at 100uM,B,,,BAO_0000201,BAO_0000357,single protein format,C[C@@H]1O[C@@H]1C(=O)N[C@H](Cc1ccccc1)C(=O)O,,,CHEMBL1141957,Bioorg. Med. Chem. Lett.,2005,,CHEMBL196804,,CHEMBL196804,,False,http://qudt.org/vocab/unit#Percent,411288,<,1,True,<,,Inhibition,%,,10.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,10.0
,1660258,[],CHEMBL854332,Inhibition of Mpro in SARS-CoV at 100uM,B,,,BAO_0000201,BAO_0000357,single protein format,C[C@@H]1O[C@@H]1C(=O)N[C@H](Cc1ccccc1)C(=O)OCc1ccccc1,,,CHEMBL1141957,Bioorg. Med. Chem. Lett.,2005,,CHEMBL381454,,CHEMBL381454,,False,http://qudt.org/vocab/unit#Percent,411286,<,1,True,<,,Inhibition,%,,10.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,10.0
,1660259,[],CHEMBL854332,Inhibition of Mpro in SARS-CoV at 100uM,B,,,BAO_0000201,BAO_0000357,single protein format,C[C@H]1O[C@H]1C(=O)N[C@H](Cc1ccccc1)C(=O)OCc1ccccc1,,,CHEMBL1141957,Bioorg. Med. Chem. Lett.,2005,,CHEMBL382936,,CHEMBL382936,,False,http://qudt.org/vocab/unit#Percent,411285,<,1,True,<,,Inhibition,%,,10.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,10.0
,1660260,[],CHEMBL854332,Inhibition of Mpro in SARS-CoV at 100uM,B,,,BAO_0000201,BAO_0000357,single protein format,COC(=O)[C@H]1O[C@H]1C(=O)OC,,,CHEMBL1141957,Bioorg. Med. Chem. Lett.,2005,,CHEMBL371081,,CHEMBL371081,,False,http://qudt.org/vocab/unit#Percent,411283,<,1,True,<,,Inhibition,%,,10.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,10.0
,1660261,[],CHEMBL854332,Inhibition of Mpro in SARS-CoV at 100uM,B,,,BAO_0000201,BAO_0000357,single protein format,C[C@H]1O[C@H]1C(=O)O,,,CHEMBL1141957,Bioorg. Med. Chem. Lett.,2005,,CHEMBL370643,,CHEMBL370643,,False,http://qudt.org/vocab/unit#Percent,411282,<,1,True,<,,Inhibition,%,,10.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,227859,,,Inhibition,%,UO_0000187,,10.0
